Source,Target
"Thomas Bruce, 7th Earl of Elgin",William Richard Hamilton
"Thomas Bruce, 7th Earl of Elgin",Sir William Hamilton
"Thomas Bruce, 7th Earl of Elgin",Horatio Nelson
"Thomas Bruce, 7th Earl of Elgin",Lusieri
Sir William Hamilton,"Emma, Lady Hamilton"
Sir William Hamilton,Horatio Nelson
Sir William Hamilton,Catherine Barlow
Sir William Hamilton,"Joseph Banks, President of the Royal Society"
Sir William Hamilton,Lord Fortrose
Sir William Hamilton,Horace Mann
Sir William Hamilton,"William Petty, 2nd Earl of Shelburne"
Sir William Hamilton,Maron
Sir William Hamilton,Winckelmann
Sir William Hamilton,Edmond Henry Pery
Sir William Hamilton,"David Murray, 7th Viscount Stormont"
Sir William Hamilton,Bernardo Tanucci
Sir William Hamilton,Dr Charles Burney
Sir William Hamilton,John Wedgwood
Sir William Hamilton,Giardini
Sir William Hamilton,Mrs Anne Miller
Sir William Hamilton,Hon. Horace Walpole
Sir William Hamilton,Hon. Charles Francis Greville
Sir William Hamilton,Thomas Jenkins
Sir William Hamilton,"Clement XIV, Pope"
Sir William Hamilton,Isaac Jamineau
Sir William Hamilton,Gavin Hamilton
Sir William Hamilton,Piranesi
Sir William Hamilton,"George Greville, 2nd Earl of Warwick"
Sir William Hamilton,George Cumberland
Sir William Hamilton,"George Finch, 9th Earl of Winchilsea"
Sir William Hamilton,"John Child, 2nd Earl Tylney"
Sir William Hamilton,Pietro Fabris
Sir William Hamilton,William Beckford
Sir William Hamilton,Abbe Peter Grant
Sir William Hamilton,Thomas Jones
Sir William Hamilton,Allan Ramsay
Sir William Hamilton,James Byres
Sir William Hamilton,George Romney
Sir William Hamilton,Tischbein
Sir William Hamilton,Goethe
Sir William Hamilton,"Elizabeth, Lady Webster"
Sir William Hamilton,John Flaxman
Sir William Hamilton,"Charles, Prince of Wales"
Sir William Hamilton,John Deare
Sir William Hamilton,Maria Louisa Caterina Cecilia Hadfield
Sir William Hamilton,Christopher Hewetson
Sir William Hamilton,"M. Mackau, French Anbassador to Naples"
Sir William Hamilton,Napoleon Buonaparte
Sir William Hamilton,"Marie Antoinette, Queen of France"
Sir William Hamilton,John Andrew Graefer
Sir William Hamilton,Lady Palmerson
Sir William Hamilton,"Sir Gilbert, 4th Bt. Elliot"
Sir William Hamilton,"Anna (Vernon), Baroness Berwick"
Sir William Hamilton,John Bacon Sawrey Morritt
Sir William Hamilton,Rehberg
Sir William Hamilton,Vigee Lebrun
Sir William Hamilton,Johsua Reynolds
Sir William Hamilton,Angelica Kauffman
Sir William Hamilton,Guy Head
Sir William Hamilton,Canaletto
Sir William Hamilton,Mengs
Sir William Hamilton,Philip Hackert
Sir William Hamilton,Vernet
